1 y,0,x,0,0.25
2 x,0,y,0,0.25
3 y,0,x,0.25,0.5
4 x,0.25,y,0,0.25
5 y,0,x,0.5,0.75
6 x,0.5,y,0,0.25
7 y,0,x,0.75,1
8 x,0.75,y,0,0.25
9 y,0,x,1,1.25
10 x,1,y,0,0.25
11 y,0,x,1.25,1.5
12 x,1.25,y,0,0.25
13 y,0,x,1.5,1.75
14 x,1.5,y,0,0.25
15 y,0,x,1.75,2
16 x,1.75,y,0,0.25
17 y,0,x,2,2.25
18 x,2,y,0,0.25
19 y,0,x,2.25,2.5
20 x,2.25,y,0,0.25
21 y,0,x,2.5,2.75
22 x,2.5,y,0,0.25
23 y,0,x,2.75,3
24 x,2.75,y,0,0.25
25 y,0,x,3,3.25
26 x,3,y,0,0.25
27 y,0,x,3.25,3.5
28 x,3.25,y,0,0.25
29 y,0,x,3.5,3.75
30 x,3.5,y,0,0.25
31 y,0,x,3.75,4
32 x,3.75,y,0,0.25
33 y,0,x,4,4.25
34 x,4,y,0,0.25
35 y,0,x,4.25,4.5
36 x,4.25,y,0,0.25
37 y,0,x,4.5,4.75
38 x,4.5,y,0,0.25
39 y,0,x,4.75,5
40 x,4.75,y,0,0.25
41 y,0,x,5,5.25 reactant
42 x,5,y,0,0.25 reactant
43 y,0,x,5.25,5.5
44 x,5.25,y,0,0.25 reactant
45 y,0,x,5.5,5.75
46 x,5.5,y,0,0.25
47 y,0,x,5.75,6
48 x,5.75,y,0,0.25
49 y,0,x,6,6.25
50 x,6,y,0,0.25
51 y,0,x,6.25,6.5
52 x,6.25,y,0,0.25
53 y,0,x,6.5,6.75
54 x,6.5,y,0,0.25
55 y,0,x,6.75,7
56 x,6.75,y,0,0.25
57 y,0,x,7,7.25
58 x,7,y,0,0.25
59 y,0,x,7.25,7.5
60 x,7.25,y,0,0.25
61 y,0,x,7.5,7.75
62 x,7.5,y,0,0.25
63 y,0,x,7.75,8
64 x,7.75,y,0,0.25
65 y,0,x,8,8.25
66 x,8,y,0,0.25
67 y,0,x,8.25,8.5
68 x,8.25,y,0,0.25
69 y,0,x,8.5,8.75
70 x,8.5,y,0,0.25
71 y,0,x,8.75,9
72 x,8.75,y,0,0.25
73 y,0,x,9,9.25
74 x,9,y,0,0.25
75 y,0,x,9.25,9.5
76 x,9.25,y,0,0.25
77 y,0,x,9.5,9.75
78 x,9.5,y,0,0.25
79 y,0,x,9.75,10
80 x,9.75,y,0,0.25
81 y,0.25,x,0,0.25
82 x,0,y,0.25,0.5
83 y,0.25,x,0.25,0.5
84 x,0.25,y,0.25,0.5
85 y,0.25,x,0.5,0.75
86 x,0.5,y,0.25,0.5
87 y,0.25,x,0.75,1
88 x,0.75,y,0.25,0.5
89 y,0.25,x,1,1.25
90 x,1,y,0.25,0.5
91 y,0.25,x,1.25,1.5
92 x,1.25,y,0.25,0.5
93 y,0.25,x,1.5,1.75
94 x,1.5,y,0.25,0.5
95 y,0.25,x,1.75,2
96 x,1.75,y,0.25,0.5
97 y,0.25,x,2,2.25
98 x,2,y,0.25,0.5
99 y,0.25,x,2.25,2.5
100 x,2.25,y,0.25,0.5
101 y,0.25,x,2.5,2.75
102 x,2.5,y,0.25,0.5
103 y,0.25,x,2.75,3
104 x,2.75,y,0.25,0.5
105 y,0.25,x,3,3.25
106 x,3,y,0.25,0.5
107 y,0.25,x,3.25,3.5
108 x,3.25,y,0.25,0.5
109 y,0.25,x,3.5,3.75
110 x,3.5,y,0.25,0.5
111 y,0.25,x,3.75,4
112 x,3.75,y,0.25,0.5
113 y,0.25,x,4,4.25
114 x,4,y,0.25,0.5
115 y,0.25,x,4.25,4.5
116 x,4.25,y,0.25,0.5
117 y,0.25,x,4.5,4.75
118 x,4.5,y,0.25,0.5
119 y,0.25,x,4.75,5
120 x,4.75,y,0.25,0.5
121 y,0.25,x,5,5.25 reactant
122 x,5,y,0.25,0.5
123 y,0.25,x,5.25,5.5
124 x,5.25,y,0.25,0.5
125 y,0.25,x,5.5,5.75
126 x,5.5,y,0.25,0.5
127 y,0.25,x,5.75,6
128 x,5.75,y,0.25,0.5
129 y,0.25,x,6,6.25
130 x,6,y,0.25,0.5
